svelte,3.47.0,8,0.7974160444960227
react,18.0.0,780,0.9218315739213527
angular,1.8.3,236,0.6002887249142937
vue,3.2.33,253,0.8707236375231404
next.js,1.0.3,1,0.14524278244785552
nuxt.js,0.0.1,0,0.544574745265177
javascript,1.0.0,1,0.017431406659975952
kit,0.1.2,0,0.36571585422744374
lit,2.2.2,0,0.7897534350864137
solid,0.2.1,0,0.19159639061064604
alpine,0.2.1,1,0.23741620933237534
framework,0.6.0,0,0.4763937518595711
meteor,2.7.2,50,0.29181261565545114
ractive,1.4.0,8,0.41419292014257636
knockout,3.5.1,21,0.5472038047624377
spine,1.6.2,3,0.41565201919288797
espresso.js,1.1.0,0,0.6403474402581801
canjs,2.2.0,1,0.44945225285313817
hyperapp,2.0.21,7,0.7448581470743412
riot,6.1.2,27,0.7663563051908913
thorax,3.0.0-beta.5,1,0.37010956129273087
chaplin,1.2.0,0,0.3813245553905307
backbone.marionette,4.1.3,8,0.638995226027379
ripple,0.1.2,1,0.2706938125231559
derby,1.0.1,9,0.5329769012329002
feathers,2.2.4,25,0.5001780611777549
inferno,7.4.11,17,0.7327256321260223
core,1.0.113,1,0.15635132136068794
rete,1.4.7,0,0.7032973659559907
blockly,8.0.0,3,0.6296115987017398
ink,3.2.0,9,0.642135252852357
lodash,4.17.21,1546,0.7515141562201809
rxjs,7.5.5,104,0.9270919600058098
most,1.9.0,14,0.5174859803279337
mobx,6.5.0,40,0.8141256704430022
cyclejs,0.26.0,6,0.04257830785838242
concent,2.18.2,0,0.7203757329067046
immutable-js,0.3.1-6,0,0.04314596614774664
moment,2.29.2,1031,0.7799877373661541
date-fns,2.28.0,52,0.38786466950488024
luxon,2.3.1,14,0.822038566452516
countdown.js,0.0.6,0,0.2942441145020137
webpack,5.72.0,554,0.9405183599920162
rollup,2.70.1,86,0.8055335401367896
brunch,4.0.0,15,0.45673052172989925
parcel,2.4.1,6,0.6310644827803112
fuse-box,4.0.0,14,0.6555436094789406
snowpack,3.8.8,0,0.7009354805576387
typescript,4.6.2,272,0.44434481771229156
flow,0.2.3,11,0.17501211260878707
hm-def,1.0.2,0,0.6215787161630395
mocha,9.2.2,701,0.7844735602550619
jasmine,4.1.0,64,0.7697742985845155
qunit,2.18.1,11,0.6681046484255126
jest,27.5.1,93,0.8029931282541721
dalek,0.0.0,0,0.06113301358545064
protractor,7.0.0,77,0.6242693514761841
testcafe,1.18.5,9,0.6873569689427187
ava,4.2.0,104,0.7660123431652033
cypress,9.5.4,14,0.6992575537473675
chai,4.3.6,315,0.810558566906497
enzyme,3.11.0,69,0.6101802042598216
sinon,13.0.2,191,0.8004865958544736
expect.js,0.3.1,22,0.36382325045823355
plexis,0.0.22,0,0.5202714355121183
cross-storage,1.0.0,5,0.7177683866227441
bag.js,0.0.2,0,0.24560130232889632
basil.js,0.4.11,0,0.3207658153514023
js-cookie,3.0.1,80,0.8462629354611564
pouchdb,7.3.0,50,0.6498790919682794
hoodie,28.2.10,9,0.4407832019026154
xss-filters,1.2.7,20,0.7154683566375238
sanitize-html,2.7.0,72,0.7907827365347941
axios,0.26.1,576,0.8329039074068086
amygdala,0.5.0,2,0.3008062391713124
optic,0.1.0,0,0.03356995145996343
swr,1.3.0,0,0.8207368697043707
bounce.js,0.8.2,1,0.1177193519280194
babel,6.23.0,180,0.565038666200643
pica,9.0.1,5,0.7290739344935414
